湖南电信,#genre#
临澧综合HD,http://118.255.77.168:8887/udp/239.76.248.32:1234
长沙县综合HD,http://118.255.77.168:8887/udp/239.76.255.33:9000
长沙县综合HD,http://118.255.77.168:8887/udp/239.76.248.33:1234
株洲综合,http://118.255.77.168:8887/udp/239.76.255.1:9000
株洲综合,http://118.255.77.168:8887/udp/239.76.248.1:1234
株洲公共,http://118.255.77.168:8887/udp/239.76.252.236:9000
株洲公共,http://118.255.77.168:8887/udp/239.76.245.236:1234
安仁综合,http://118.255.77.168:8887/udp/239.76.253.123:9000
湘潭综合,http://118.255.77.168:8887/udp/239.76.255.4:9000
湘潭综合,http://118.255.77.168:8887/udp/239.76.248.4:1234
益阳综合,http://118.255.77.168:8887/udp/239.76.255.15:9000
益阳综合,http://118.255.77.168:8887/udp/239.76.248.15:1234
益阳公共,http://118.255.77.168:8887/udp/239.76.255.16:9000
益阳公共,http://118.255.77.168:8887/udp/239.76.248.16:1234
益阳教育,http://118.255.77.168:8887/udp/239.76.255.17:9000
益阳教育,http://118.255.77.168:8887/udp/239.76.248.17:1234
冷水江综合,http://118.255.77.168:8887/udp/239.76.255.40:9000
湘潭县综合,http://118.255.77.168:8887/udp/239.76.255.41:9000
欢笑剧场,http://118.255.77.168:8887/udp/239.76.254.66:9000
法制天地,http://118.255.77.168:8887/udp/239.76.254.67:9000
乐游,http://118.255.77.168:8887/udp/239.76.254.68:9000
东方财经,http://118.255.77.168:8887/udp/239.76.254.69:9000
动漫秀场,http://118.255.77.168:8887/udp/239.76.254.70:9000
魅力足球,http://118.255.77.168:8887/udp/239.76.254.72:9000
生活时尚,http://118.255.77.168:8887/udp/239.76.254.73:9000
都市剧场,http://118.255.77.168:8887/udp/239.76.254.74:9000
金色学堂,http://118.255.77.168:8887/udp/239.76.254.75:9000

凤凰中文,http://118.250.36.95:8888/udp/239.76.246.135:1234
凤凰资讯,http://118.250.36.95:8888/udp/239.76.246.134:1234
凤凰资讯,http://118.250.36.95:8888/udp/239.76.253.134:9000
凤凰中文,http://118.250.36.95:8888/udp/239.76.253.135:9000
湖南卫视FHD,http://118.250.36.95:8888/udp/239.76.245.115:1234
湖南经视FHD,http://118.250.36.95:8888/udp/239.76.245.116:1234
湖南都市FHD,http://118.250.36.95:8888/udp/239.76.245.117:1234
湖南电视剧FHD,http://118.250.36.95:8888/udp/239.76.245.118:1234
湖南电影FHD,http://118.250.36.95:8888/udp/239.76.245.119:1234
湖南娱乐FHD,http://118.250.36.95:8888/udp/239.76.245.121:1234
湖南国际FHD,http://118.250.36.95:8888/udp/239.76.245.124:1234
湖南公共FHD,http://118.250.36.95:8888/udp/239.76.245.123:1234
CCTV-1,http://118.250.36.95:8888/udp/239.76.246.151:1234
CCTV-2,http://118.250.36.95:8888/udp/239.76.246.152:1234
CCTV-3,http://118.250.36.95:8888/udp/239.76.246.153:1234
CCTV-4,http://118.250.36.95:8888/udp/239.76.245.195:1234
CCTV-4,http://118.250.36.95:8888/udp/239.76.246.154:1234
CCTV-5,http://118.250.36.95:8888/udp/239.76.246.155:1234
CCTV-5+,http://118.250.36.95:8888/udp/239.76.246.168:1234
